trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.5}",25,0,-132.88367758413327,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.0}",20,0,-131.9098058987744,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.1, 'e': -0.5}",20,0,-96.36683456161188,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.1, 'e': -1.0}",20,0,-58.12842283522166,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': -1.5}",35,19,17.540420138995977,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.1, 'e': -2.0}",25,0,-60.42962733836013,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.1, 'e': -2.5}",25,3,-115.7333381519901,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 2}",1
8,False,"{'a': 0.1, 'e': -3.0}",20,13,12.852165667038063,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.1, 'e': -3.5}",25,6,5.534391313272285,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.1, 'e': -4.0}",25,0,19.524850626495212,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.1, 'e': -4.5}",35,9,-30.660261685869287,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 1}",1
12,False,"{'a': 0.1, 'e': -5.0}",25,0,32.51450103162868,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.1, 'e': -5.5}",20,0,26.40066497907207,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.1, 'e': -6.0}",25,16,16.541237664851867,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.1, 'e': -6.5}",20,0,-19.240350565509903,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.1, 'e': -7.0}",20,13,6.034310570686288,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': -7.5}",35,17,29.824221628950067,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.1, 'e': -8.0}",25,0,-26.491289366468067,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
19,False,"{'a': 0.1, 'e': -8.5}",20,2,23.442980190315193,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.1, 'e': -9.0}",25,6,23.906319987029562,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,18,5.105254070234119,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,21.567173675553914,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,29.0372695907018,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,8,18.182507354662334,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-38.57551366444473,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,3,27.293325696337032,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-9.697552584249083,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-24.545591948755156,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,0.6579153516990816,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,8,20.801231163436135,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
