'forward', 'green', 'forward', 'forward',1.739623609,-11.26365991,0.151297282,-1.968630104
'forward', 'green', 'forward', 'left',1.445776957,-12.27001065,0.301239014,-1.765666711
'forward', 'green', 'forward', 'right',1.435750808,-5.340781251,0.261107909,-0.515375225
'forward', 'green', 'forward', None,1.8580124,-19.23051022,0.650429156,-4.529742654
'forward', 'green', 'left', 'forward',1.782085494,0.404847774,0.129321238,-3.074643655
'forward', 'green', 'left', 'left',1.630554136,0.497185326,0.31820028,-2.256834598
'forward', 'green', 'left', 'right',1.180368983,0.571036859,-0.062428028,-0.830346073
'forward', 'green', 'left', None,1.905028621,0.852985789,0.849269718,-4.984495631
'forward', 'green', 'right', 'forward',1.051154754,-5.387235164,0.204247389,-0.436353305
'forward', 'green', 'right', 'left',1.372544597,-2.018416323,0,-1.734724533
'forward', 'green', 'right', 'right',0.318763909,-6.811269223,0.09865065,-1.042710399
'forward', 'green', 'right', None,1.801344402,-13.08115889,0.422664408,-2.922457741
'forward', 'green', None, 'forward',1.734081636,0.897470012,0.628123602,-4.592020805
'forward', 'green', None, 'left',1.940590984,0.9099418,0.875678334,-4.494969579
'forward', 'green', None, 'right',1.919770429,0.373604596,0.480744988,-3.192374207
'forward', 'green', None, None,1.969979836,0.856005412,1.073460366,-4.901966084
'forward', 'red', 'forward', 'forward',-7.601803672,-20.87236258,-5.463627694,1.695619179
'forward', 'red', 'forward', 'left',-5.819831777,-6.475112117,0.521297558,1.735969202
'forward', 'red', 'forward', 'right',-3.526189319,-3.385379204,0.206319925,1.849687837
'forward', 'red', 'forward', None,-11.02910635,-11.11326133,0.81623407,1.81425215
'forward', 'red', 'left', 'forward',-16.40133756,-18.75197565,-14.4476131,2.183477319
'forward', 'red', 'left', 'left',-4.975501814,-3.307172456,0.448459841,2.055927184
'forward', 'red', 'left', 'right',-9.425965087,-4.655615124,0.280240226,1.525346565
'forward', 'red', 'left', None,-12.84171461,-12.27334015,0.846282472,2.057014414
'forward', 'red', 'right', 'forward',-10.93650704,-7.583747113,-2.045464274,1.261609741
'forward', 'red', 'right', 'left',-8.077220016,0,0.496952536,0.220266008
'forward', 'red', 'right', 'right',-1.048483951,-3.984310639,-0.031035522,0.495103913
'forward', 'red', 'right', None,-8.944704005,-26.17278923,0.629045356,1.88190408
'forward', 'red', None, 'forward',-35.32941432,-35.55053923,-18.27799249,2.05467298
'forward', 'red', None, 'left',-13.54107398,-10.91118106,0.857474995,2.003729853
'forward', 'red', None, 'right',-10.38664588,-9.627426431,0.531980417,1.633231828
'forward', 'red', None, None,-10.6326739,-13.31184062,0.8993011,1.864328526
'left', 'green', 'forward', 'forward',0.859493812,-8.174588315,0.166977152,0
'left', 'green', 'forward', 'left',0.031551272,-3.674444181,0.654606022,-0.522582846
'left', 'green', 'forward', 'right',0.627931207,-3.918914143,-0.048195728,-1.431082406
'left', 'green', 'forward', None,0.625941265,-19.00602818,0.613043958,-4.739453787
'left', 'green', 'left', 'forward',0.621296122,1.678480713,0.312184054,-2.46631839
'left', 'green', 'left', 'left',0.821791135,0.400195127,0.238331307,-0.927478998
'left', 'green', 'left', 'right',0.141551382,0.407650451,0.668237645,-1.425090753
'left', 'green', 'left', None,0.597395051,1.911931299,0.888415876,-5.170011972
'left', 'green', 'right', 'forward',0.357463622,-5.486502169,0,-0.425428597
'left', 'green', 'right', 'left',0.231598147,-3.779590259,0.586606336,-0.47852885
'left', 'green', 'right', 'right',0.155070346,-3.615911535,0,0
'left', 'green', 'right', None,0.624651548,-10.47489097,0.289228874,-4.009754639
'left', 'green', None, 'forward',0.704560267,2.069721884,0.887101672,-4.479362158
'left', 'green', None, 'left',0.845640121,1.966854178,0.783672502,-4.473095415
'left', 'green', None, 'right',0.547119352,1.633757886,0.454355443,-2.693903868
'left', 'green', None, None,0.6979696,2.046516456,0.56718881,-5.163678279
'left', 'red', 'forward', 'forward',-16.24934469,-13.70076381,-11.42468701,1.561647133
'left', 'red', 'forward', 'left',-8.866649345,-7.245743923,0.122501352,1.990079781
'left', 'red', 'forward', 'right',-1.920247994,-4.244081312,0.259585408,1.511531831
'left', 'red', 'forward', None,-13.52227656,-9.94970852,0.694727336,2.267004544
'left', 'red', 'left', 'forward',-22.85835825,-19.00697664,-6.843642801,1.954173504
'left', 'red', 'left', 'left',-7.145290539,-3.531435134,0.376935207,1.650964817
'left', 'red', 'left', 'right',-2.736454873,-7.714202966,0.441263662,1.346200679
