trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9999937500130208}",30,0,-107.65768562825487,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.9999750002083326}",25,0,-180.11201138566975,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.9999437510546796}",30,0,-29.937909169374226,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.9999000033332889}",30,0,-256.7356591171547,"{0: 13, 1: 2, 2: 10, 3: 2, 4: 3}",0
5,False,"{'a': 0.1, 'e': 0.9998437581378513}",30,7,-127.31623062755185,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 3}",1
6,False,"{'a': 0.1, 'e': 0.9997750168744938}",20,0,-146.62569203355713,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.9996937812617444}",25,0,-102.91027216224991,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.999600053330489}",35,0,-134.70799391386845,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.9994938354239212}",20,0,-28.98214557948965,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.9993751301974831}",20,0,-169.32878216697253,"{0: 8, 1: 6, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.1, 'e': 0.9992439406187992}",20,11,-34.29289124234948,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
12,False,"{'a': 0.1, 'e': 0.9991002699676022}",20,0,-101.34837561725047,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.9989441218356505}",20,0,-101.53194714516931,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.9987755001266398}",35,0,-149.09162900684683,"{0: 20, 1: 5, 2: 7, 3: 2, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.9985944090561037}",25,0,-192.36035842722498,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.9984008531513098}",20,0,-187.7391716517301,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.1, 'e': 0.9981948372511452}",20,0,-120.85267737109208,"{0: 10, 1: 5, 2: 1, 3: 3, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.9979763665059971}",20,0,-93.68623067528036,"{0: 9, 1: 6, 2: 3, 3: 2, 4: 0}",0
19,False,"{'a': 0.1, 'e': 0.9977454463776226}",20,0,-97.71293381448729,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
