('left', 'green', 'forward', 'left'),0.237496612232,-19.2642001449,0.301668408936,-5.79012647088
('right', 'green', 'forward', 'right'),0.146283409869,-19.8329735677,1.35222755627,-4.61158811328
('forward', 'green', 'forward', None),2.51540417718,-19.7253141965,0.0379210139064,-5.55312614385
('forward', 'green', None, 'right'),1.1445471951,1.01397483106,0.0928202818106,-4.89210014659
('left', 'red', 'right', 'left'),0.0,-39.2968744733,1.45517411529,1.67866792271
('right', 'green', 'right', 'forward'),-0.348759091406,-19.3151742915,1.12571623383,-5.64327524016
('left', 'red', 'right', 'right'),-13.0788731359,-38.8032701678,1.73762490683,0.0
('right', 'green', None, 'right'),0.116462008816,0.863838641191,1.94194669869,-5.93912194947
('left', 'green', 'right', 'right'),-0.0616117518866,-17.3437543202,0.812565066791,-4.89197210325
('forward', 'red', 'right', 'right'),-9.1592537731,-36.3404893796,1.35933304956,1.20264808332
('right', 'green', 'left', 'right'),0.339029938401,-0.342720795595,2.52772828247,-5.67314875116
('left', 'red', None, 'right'),-10.2988941106,-12.5225691305,0.656768587149,1.19915359788
('left', 'green', None, None),0.640369418129,1.06344183711,0.495852323739,-4.75954007038
('left', 'green', 'forward', None),1.43056055919,-19.3821231914,0.203820331199,-4.17461168883
('left', 'red', 'left', 'forward'),-40.7895772667,-40.1676800021,-19.7274229596,2.80108021153
('right', 'red', 'right', 'left'),-9.22488676252,-39.7368806511,1.17204645222,0.708949779073
('forward', 'red', None, 'left'),-9.59220712842,-9.71912147198,0.33105940417,2.37507944794
('left', 'green', 'left', 'forward'),0.521338926879,0.832863125021,0.162085147119,-5.72521331987
('right', 'red', 'left', 'forward'),-39.434880416,-40.2187132494,-20.0194160329,0.917629101124
('forward', 'red', 'right', 'left'),-12.9012830813,-39.5847143986,0.885486214064,2.26284205288
('right', 'red', 'right', 'forward'),-40.1405923626,-40.2417749196,0.0,1.86002586228
('right', 'red', None, 'right'),-9.53628897236,-37.3547238092,1.57341930541,0.209761835135
('left', 'green', 'left', 'left'),0.270395921417,2.05449375675,0.199438850106,-4.72779895513
('forward', 'green', 'right', None),2.16701516758,-19.4321064021,-0.0763429183506,-4.92534225262
('forward', 'green', 'right', 'right'),1.10300233815,-18.7292406969,0.877065489552,-4.64376937136
('left', 'green', None, 'right'),1.46151916292,2.56125997473,0.452840625006,-4.2588882274
('forward', 'green', None, 'left'),1.51839599838,0.994935843672,0.64674288752,-4.76202698748
('right', 'green', 'forward', 'left'),0.657384343215,-19.5736481491,1.30421785795,-4.59930349983
('right', 'red', 'forward', 'right'),-13.267350561,-9.498459465,2.66451700678,0.642278727631
('left', 'green', 'right', 'left'),0.0829862076731,-19.5598900729,1.31927688308,-4.21278974919
('forward', 'green', 'right', 'forward'),2.03822406577,-19.3873928397,0.962569202105,-4.32935489757
('forward', 'green', 'left', 'left'),2.41126751141,0.239135393088,0.46138715246,-5.76884397488
('forward', 'red', None, 'forward'),-40.7282226641,-40.6511158239,-19.6301440498,2.79406091199
('left', 'red', None, None),-10.5603136487,-10.0996480095,0.295670947802,2.76436562615
('right', 'red', None, 'forward'),-40.0244421893,-39.9682537289,-20.24091424,1.22969447805
('right', 'red', 'left', None),-9.84931069123,-10.8625882411,1.24480717303,0.2202462273
('right', 'red', 'left', 'right'),-9.35039987607,-10.1875075279,1.17722771463,0.974024952976
('forward', 'red', 'forward', 'forward'),-38.9158355958,-39.0835668261,-20.4141147735,2.82694472176
('left', 'red', 'forward', 'right'),-36.3283909768,-10.5737018939,0.378346855341,2.46462958393
('left', 'green', 'forward', 'right'),0.0876750806557,0.0,0.260523100764,-5.71330343038
('forward', 'red', 'forward', 'left'),-36.9462671284,-8.15173065379,-0.646676666997,2.45177618121
('forward', 'green', 'forward', 'right'),2.69848267115,-20.4053331197,-0.418879463062,-4.29641519597
('right', 'red', None, 'left'),-10.2482451963,-9.80121165602,2.45842317314,0.468723731748
('forward', 'red', 'right', 'forward'),-39.5796891998,-39.1837519497,-19.1548630556,1.10903557345
('forward', 'green', None, 'forward'),1.64651353851,0.449454856864,0.503366166651,-5.6969451313
('right', 'red', 'right', None),-36.4945603501,-39.2652646158,1.43538845688,0.535148388575
('right', 'green', None, 'forward'),0.504059012836,0.869212010703,2.05087438992,-5.41463845409
('right', 'green', 'right', None),0.407215468691,-19.6946658787,1.23871011263,-4.2783994558
('forward', 'green', 'forward', 'forward'),1.70355225939,-20.0059179716,0.30664489627,-5.12257700423
('forward', 'green', 'left', 'right'),2.82307750765,-0.476107470439,-0.0193650894243,-4.22869034502
('left', 'red', 'left', None),-36.8429608084,-10.6255721377,0.560597102001,1.84088828032
('right', 'green', 'forward', 'forward'),0.995496193271,-19.6074498141,0.868817508093,-4.98703985592
('forward', 'red', 'forward', 'right'),-9.43053087724,-9.67289441923,0.518239952342,2.5181109869
('forward', 'red', 'left', 'right'),-10.4928657333,-12.2187830957,1.10796712421,2.28450648321
('forward', 'red', 'left', None),-36.5830315918,-9.06573446301,0.222629513362,1.27987828448
('forward', 'red', None, 'right'),-10.2662203234,-10.9383501463,0.0754595828177,1.05820819004
('left', 'green', 'right', None),1.33926877717,-20.3517402421,0.0715754083057,-5.80157317851
('forward', 'green', None, None),2.40698044607,0.735777901801,-0.0660713584567,-4.53346205208
('forward', 'red', 'right', None),-10.0873115836,-39.6469676329,0.616528604052,2.62241809242
('right', 'green', 'right', 'left'),-0.257511377371,-20.4276942972,1.20239678317,-5.8400284511
('left', 'green', 'right', 'forward'),0.220931875803,-19.9429630366,0.018999407023,-5.35434958522
('forward', 'red', 'left', 'forward'),-39.2296166811,-40.1524689464,-19.3733300091,1.74399085108
('forward', 'green', 'left', 'forward'),2.09375852038,0.0110214910903,1.13666762705,-5.60431682135
('right', 'green', 'forward', None),0.0588689175243,-20.7222094498,1.67276498285,-4.7261887535
('right', 'red', 'forward', 'forward'),-40.2392172156,-40.4940026277,-19.9568292167,1.00969643768
('right', 'green', None, None),0.429929994264,0.00540343689743,2.5068599124,-5.33291334575
('right', 'red', 'forward', 'left'),-9.91415828625,-10.0758046061,1.2355453818,0.0687195885046
('forward', 'green', 'forward', 'left'),0.987090951386,-20.4045654559,0.384646543365,-4.19750664439
('right', 'green', 'left', 'forward'),0.814424144758,-0.174403728752,1.24373731931,-5.02899918071
('left', 'green', None, 'left'),0.0461500831708,1.21659578367,0.408040839559,-4.15681449604
('left', 'red', 'forward', 'left'),-36.5270736078,-10.3197371216,0.686813861616,1.55510153472
('forward', 'red', 'left', 'left'),-12.4766688812,-13.0363083082,0.128917394017,1.18131305513
('left', 'red', 'right', 'forward'),-39.9141964064,-40.2497878283,-19.9050425467,2.0283362973
('left', 'green', 'left', 'right'),0.389494274884,0.964941975093,0.247044420787,-4.12179550221
('right', 'red', 'left', 'left'),-10.1693537909,-9.29669729545,2.37139897288,0.933230169171
('left', 'red', 'left', 'right'),-12.9216557952,-9.97687928927,0.642491135906,2.29768161512
('left', 'red', 'forward', 'forward'),-39.3124770273,-39.9018414219,-19.4370956495,1.81434332137
('forward', 'red', 'forward', None),-10.1277878519,-10.1857607721,0.41650715098,2.43370275344
('right', 'red', None, None),-37.3842623422,-9.74060238846,1.08649877693,0.641063789614
('left', 'red', None, 'forward'),-40.1161314766,-40.4492940248,-19.8906981681,1.84308010591
('forward', 'red', None, None),-10.6104750933,-10.1669428582,-0.239529315448,2.05791751989
('right', 'green', 'right', 'right'),0.0,-17.4091586858,1.99655260582,-5.1686111018
('right', 'green', None, 'left'),0.379001741274,0.87059768554,2.80892868255,-5.13527959975
('left', 'green', 'left', None),0.664246958504,1.24381816788,-0.0913767717908,-5.38919432456
('forward', 'green', 'right', 'left'),2.24557699654,-20.3181040388,-0.158954810144,-4.89573124514
('left', 'red', 'forward', None),-9.60127783873,-9.27817471916,0.630257395017,1.66048088939
('left', 'red', None, 'left'),-9.37138106423,-37.8555920511,0.613787991902,1.13568085975
('forward', 'green', 'left', None),1.20672928138,0.44834335188,0.050593538411,-5.66485037074
('left', 'green', 'forward', 'forward'),1.0244504847,-19.4748571876,0.0225917025967,-5.11146864921
('left', 'red', 'right', None),-10.3208396505,-40.913704696,1.04666912171,2.02679711478
('left', 'green', None, 'forward'),0.511943453531,1.08343891699,-0.426213065911,-4.80630178338
('right', 'green', 'left', None),0.0375971101162,-0.0708112933241,0.851807181788,-4.34434291258
('right', 'red', 'right', 'right'),-10.6829502243,0.0,0.0,0.838228135334
('right', 'green', 'left', 'left'),0.115648195355,0.990766195606,1.98697248738,-4.81739038293
('left', 'red', 'left', 'left'),-12.3430584752,-9.61171425357,0.099431513158,1.52715762266
('right', 'red', 'forward', None),-9.30509229328,-10.4173495633,2.46653150259,0.313358922053
