trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,10,-15.505390310386925,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-153.53105537840264,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-116.1071440915523,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-91.27597713793088,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-97.55290162427697,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-135.38209846661377,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-225.13243200895954,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,4,-131.64458012339466,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-147.03319060741188,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-63.15147252746272,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,14,-56.26116184574283,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-176.9168099154983,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-89.12139837181672,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,6,-32.76531041259088,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-239.44230676588967,"{0: 6, 1: 5, 2: 4, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-168.54153302813242,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-197.44827831654294,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-120.41506770895175,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,15,1.3530294034247208,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-58.78538745323709,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-97.16060964117719,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-38.59953069302158,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-220.4636529103818,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",25,0,-119.53706897792783,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,0,-191.48516736659118,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-167.18110651776558,"{0: 11, 1: 2, 2: 9, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-130.867834604201,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-209.68781279437133,"{0: 9, 1: 5, 2: 7, 3: 2, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-185.32699318191516,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",25,0,-87.96255180475565,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
